Temperature (K)	Precipitation (Kg/m^2/s)	Cloud Fraction(%)	Humidity (%)	Wind (m/s)
288.93048	2.2172475e-09	100.0	81.411415	9.034123
291.04684	3.211518e-10	12.5000105	76.85653	7.895331
292.06815	9.048537e-08	35.96063	77.92071	7.0081244
292.6136	2.2624992e-05	98.98142	83.95826	6.9397254
292.5529	3.319106e-05	99.88119	88.26122	7.2123275
292.58765	2.1150723e-05	99.979515	91.99744	6.477037
292.15692	9.164554e-06	97.62613	89.331436	5.899126
291.55154	6.047341e-08	46.232655	76.104004	6.34388
291.22043	3.381791e-17	5.682091	59.030544	7.2239594
290.75986	3.228172e-18	1.5658023	51.60647	7.7725134
290.88968	6.4248483e-18	2.7292982e-14	55.154037	6.8173776
291.726	5.520115e-13	0.0	62.847942	6.8734293
292.09436	7.332664e-13	0.0	68.997925	5.8729477
292.50626	4.161607e-17	14.116456	61.79316	4.9799485
292.56485	2.1906936e-15	38.828876	58.76991	6.5741367
292.68597	1.6202794e-08	59.00541	73.7781	6.745903
293.13937	9.057339e-07	100.0	77.28788	6.5180016
291.57544	7.3677495e-09	53.775658	62.72118	9.789011
285.81573	4.152557e-07	85.25446	56.67389	12.462114
285.86316	1.3459581e-06	93.86394	63.1037	9.0341215
288.76535	7.151575e-07	89.80332	57.299873	7.702621
290.00308	2.261868e-06	57.072586	67.99396	6.995669
291.1717	3.4642433e-06	98.713806	79.552925	7.2814555
292.44186	5.4326604e-10	67.34687	76.93825	5.2649174
291.8464	6.905095e-16	53.949875	64.493416	6.9900193
289.0033	5.429924e-13	90.52417	54.597004	9.9707985
288.46344	1.0008856e-14	99.9	61.822495	7.4946537
289.82394	1.6475115e-17	33.50458	53.288433	6.838901
291.04086	8.043485e-06	70.36048	61.995705	7.480775
292.4521	1.179239e-05	94.60085	84.278725	6.9887037
293.7148	0.00014624707	99.46209	91.76072	6.4269257
294.67993	2.5786512e-05	80.25634	92.695595	3.8450634
287.74265	6.076224e-05	87.92981	85.66254	9.414815
287.33197	6.4047617e-06	99.14205	69.31971	8.614995
287.49728	5.2994103e-05	99.38183	91.87806	7.2789116
289.42264	6.8188824e-06	98.41048	82.68956	8.338563
286.36765	5.995642e-08	94.83217	56.532566	11.075942
285.8464	7.780262e-10	96.69169	48.523643	10.176176
286.59674	5.389079e-08	19.578018	47.734615	9.617477
287.71497	1.1044545e-08	70.90073	47.29221	8.847945
288.50177	1.0835692e-15	35.384167	57.31646	6.9552445
289.74918	2.881995e-15	51.935856	64.83048	6.423411
290.9525	1.11023205e-10	67.85476	73.16565	6.325682
291.89835	1.471413e-07	36.525375	77.24186	5.8498664
291.46933	2.3804256e-05	75.14277	87.35061	5.356045
292.6135	1.2676753e-05	39.56106	92.244576	3.1356356
292.2975	4.0702358e-05	75.45426	87.02701	7.0063553
291.15622	6.726418e-09	31.278355	74.10537	8.361088
291.18585	3.5570116e-07	47.116135	72.61189	7.426289
291.63193	3.0631506e-10	13.906229	72.497154	6.910646
290.03036	1.5471317e-15	5.850447e-06	66.620636	7.5490484
290.08115	4.175676e-11	10.481083	66.44612	5.833725
291.6941	7.299059e-06	92.835464	80.60663	5.4750786
293.26477	9.78459e-06	81.72884	91.23557	2.858954
293.58002	1.5223874e-07	22.97123	92.66081	0.6065749
293.52408	7.822464e-07	0.61221534	83.03926	2.1665945
293.80145	1.314596e-06	10.576417	80.91009	3.019842
294.2249	1.4009932e-05	78.54668	91.590355	3.9118457
293.02365	9.338624e-06	63.918106	91.833206	2.9884608
290.44498	4.4454586e-07	99.75778	78.00683	5.351789
292.17294	3.0576623e-06	99.99999	82.852844	4.711399
293.42557	1.1974874e-06	98.13812	88.80269	4.6963277
293.4814	1.265717e-05	98.950226	89.21412	3.691019
290.93875	1.1915057e-05	79.05629	75.217285	7.371381
290.6394	2.7729726e-12	0.0061825723	63.98758	5.664767
292.58896	1.4165169e-05	80.60724	79.08639	6.9261274
