Longitude (deg),Latitude (deg),"Rainfall class (0: < 0.5, 1: [0.5 4), 2: [4,8), 3: >= 8 (mm/day)"
2.5,59.84293193717278,1.0
156.25,-45.70680628272251,1.0
215.0,50.41884816753927,1.0
10.0,19.31937172774869,0.0
10.0,55.13089005235602,1.0
66.25,-1.4136125654450211,2.0
356.25,30.6282722513089,0.0
237.5,-58.90052356020942,1.0
342.5,34.3979057591623,0.0
342.5,-49.47643979057592,1.0
336.25,-39.109947643979055,2.0
13.75,2.356020942408378,2.0
295.0,-2.356020942408378,1.0
273.75,8.010471204188477,3.0
133.75,1.4136125654450211,3.0
62.5,41.93717277486911,0.0
298.75,29.685863874345543,1.0
103.75,-8.952879581151834,1.0
323.75,53.24607329842931,1.0
123.75,-1.4136125654450211,2.0
30.0,52.30366492146598,1.0
267.5,-41.93717277486911,2.0
151.25,-1.4136125654450211,3.0
157.5,-28.7434554973822,1.0
11.25,-38.167539267015705,1.0
148.75,7.068062827225134,3.0
185.0,-42.87958115183246,1.0
228.75,21.204188481675388,1.0
28.75,-45.70680628272251,1.0
258.75,-11.78010471204189,0.0
207.5,26.8586387434555,1.0
228.75,-21.204188481675388,1.0
221.25,51.36125654450262,1.0
53.75,-48.53403141361257,2.0
140.0,37.225130890052355,2.0
246.25,19.31937172774869,1.0
238.75,8.952879581151834,3.0
167.5,-39.109947643979055,1.0
213.75,8.952879581151834,3.0
126.25,0.47120418848167844,2.0
66.25,3.2984293193717207,3.0
243.75,0.47120418848167844,0.0
105.0,-58.90052356020942,1.0
300.0,-33.455497382198956,1.0
142.5,18.376963350785346,3.0
46.25,24.031413612565444,0.0
111.25,-28.7434554973822,1.0
86.25,13.66492146596859,3.0
76.25,17.43455497382199,2.0
126.25,39.10994764397907,2.0
187.5,28.7434554973822,1.0
202.5,-55.13089005235602,1.0
270.0,24.9738219895288,1.0
337.5,-32.5130890052356,1.0
50.0,-16.492146596858646,2.0
220.0,26.8586387434555,0.0
325.0,-24.9738219895288,1.0
155.0,-51.361256544502616,1.0
241.25,1.4136125654450211,0.0
112.5,-38.167539267015705,1.0
247.5,46.64921465968587,1.0
342.5,-29.68586387434555,1.0
271.25,-26.8586387434555,1.0
140.0,56.07329842931938,1.0
346.25,1.4136125654450211,1.0
303.75,51.36125654450262,1.0
287.5,-16.492146596858646,0.0
13.75,37.225130890052355,0.0
26.25,39.10994764397907,0.0
297.5,-12.722513089005233,0.0
303.75,36.282722513089,1.0
135.0,0.47120418848167844,2.0
88.75,-36.282722513089006,1.0
303.75,41.93717277486911,2.0
177.5,-23.0890052356021,1.0
205.0,58.90052356020942,1.0
